2024-02-15_13:55:34.755444;296.98;91002;7.42;1900
2024-02-15_13:55:45.224180;296.99;91002;7.42;1885
2024-02-15_13:55:55.693125;296.99;91002;7.41;1878
2024-02-15_13:56:06.161852;296.99;91003;7.41;1873
2024-02-15_13:56:16.630806;297;91004;7.4;1866
2024-02-15_13:56:27.099538;297;91003;7.4;1860
2024-02-15_13:56:37.568502;297.01;91003;7.41;1849
2024-02-15_13:56:48.037460;297.01;91002;7.4;1837
2024-02-15_13:56:58.506158;297.02;91001;7.4;1830
2024-02-15_13:57:08.978877;297.02;91001;7.37;1822
2024-02-15_13:57:19.447685;297.02;91000;7.39;1813
2024-02-15_13:57:29.916728;297.03;90999;7.38;1812
2024-02-15_13:57:40.385633;297.03;90999;7.37;1802
2024-02-15_13:57:50.854456;297.03;90999;7.38;1795
2024-02-15_13:58:01.323315;297.03;90999;7.38;1786
2024-02-15_13:58:11.792169;297.03;90998;7.38;1777
2024-02-15_13:58:22.261066;297.04;90998;7.38;1773
2024-02-15_13:58:32.733693;297.04;90997;7.37;1764
2024-02-15_13:58:43.202712;297.04;90998;7.37;1756
2024-02-15_13:58:53.671435;297.04;90997;7.36;1748
2024-02-15_13:59:04.140571;297.04;90998;7.38;1742
2024-02-15_13:59:14.609417;297.05;90998;7.37;1732
2024-02-15_13:59:25.078210;297.05;90997;7.36;1727
2024-02-15_13:59:35.547036;297.05;90997;7.35;1721
2024-02-15_13:59:46.016002;297.05;90997;7.36;1717
2024-02-15_13:59:56.488505;297.05;90997;7.36;1709
2024-02-15_14:00:06.957423;297.06;90997;7.35;1703
2024-02-15_14:00:17.426470;297.06;90997;7.36;1695
2024-02-15_14:00:27.895362;297.06;90997;7.35;1690
2024-02-15_14:00:38.364379;297.06;90996;7.35;1679
2024-02-15_14:00:48.833060;297.06;90996;7.35;1676
2024-02-15_14:00:59.301908;297.07;90997;7.35;1671
2024-02-15_14:01:09.771013;297.07;90996;7.35;1663
2024-02-15_14:01:20.239691;297.07;90995;7.35;1654
2024-02-15_14:01:30.708535;297.07;90995;7.35;1647
2024-02-15_14:01:41.177206;297.07;90995;7.34;1646
2024-02-15_14:01:51.646084;297.07;90995;7.34;1636
2024-02-15_14:02:02.115365;297.07;90995;7.34;1632
2024-02-15_14:02:12.583864;297.08;90994;7.34;1625
2024-02-15_14:02:23.052816;297.08;90995;7.33;1617
2024-02-15_14:02:33.521699;297.08;90995;7.34;1615
2024-02-15_14:02:43.990410;297.08;90994;7.34;1609
2024-02-15_14:02:54.459511;297.08;90994;7.32;1597
2024-02-15_14:03:04.928097;297.08;90993;7.33;1595
2024-02-15_14:03:15.396992;297.08;90992;7.34;1590
2024-02-15_14:03:25.869562;297.08;90992;7.33;1586
2024-02-15_14:03:36.338548;297.09;90992;7.33;1580
2024-02-15_14:03:46.807642;297.09;90992;7.31;1573
2024-02-15_14:03:57.276683;297.09;90991;7.32;1564
2024-02-15_14:04:07.745759;297.09;90991;7.31;1563
2024-02-15_14:04:18.214741;297.09;90991;7.31;1555
2024-02-15_14:04:28.683646;297.09;90990;7.32;1549
2024-02-15_14:04:39.152690;297.09;90990;7.32;1543
2024-02-15_14:04:49.621535;297.1;90990;7.32;1539
2024-02-15_14:05:00.094376;297.1;90989;7.31;1537
2024-02-15_14:05:10.563530;297.1;90990;7.31;1534
2024-02-15_14:05:21.032556;297.1;90990;7.31;1528
2024-02-15_14:05:31.501484;297.1;90991;7.31;1523
2024-02-15_14:05:41.970612;297.1;90992;7.3;1516
2024-02-15_14:05:52.439527;297.11;90992;7.31;1511
2024-02-15_14:06:02.908310;297.11;90992;7.31;1505
2024-02-15_14:06:13.381069;297.11;90992;7.31;1503
2024-02-15_14:06:23.850106;297.11;90991;7.31;1498
2024-02-15_14:06:34.319176;297.11;90991;7.3;1490
2024-02-15_14:06:44.788250;297.11;90991;7.29;1484
2024-02-15_14:06:55.257131;297.11;90991;7.28;1481
2024-02-15_14:07:05.726165;297.12;90991;7.28;1480
2024-02-15_14:07:16.195094;297.12;90991;7.29;1475
2024-02-15_14:07:26.664091;297.12;90992;7.3;1471
2024-02-15_14:07:37.133038;297.12;90991;7.28;1463
2024-02-15_14:07:47.605710;297.12;90991;7.28;1462
2024-02-15_14:07:58.074794;297.12;90990;7.28;1438
2024-02-15_14:08:08.543789;297.12;90989;7.28;1482
2024-02-15_14:08:19.012847;297.13;90989;7.29;1477
2024-02-15_14:08:29.481806;297.13;90990;7.28;1476
2024-02-15_14:08:39.950668;297.13;90989;7.29;1469
2024-02-15_14:08:50.419536;297.13;90990;7.28;1467
2024-02-15_14:09:00.888575;297.14;90990;7.28;1461
2024-02-15_14:09:11.357693;297.14;90990;7.28;1457
2024-02-15_14:09:21.826313;297.14;90989;7.27;1453
2024-02-15_14:09:32.295235;297.14;90989;7.28;1448
2024-02-15_14:09:42.764136;297.14;90989;7.27;1446
2024-02-15_14:09:53.233026;297.15;90989;7.26;1438
2024-02-15_14:10:03.701960;297.15;90988;7.26;1435
2024-02-15_14:10:14.174836;297.15;90988;7.26;1428
2024-02-15_14:10:24.643755;297.15;90987;7.27;1425
2024-02-15_14:10:35.108924;297.15;90988;7.25;1422
2024-02-15_14:10:45.581414;297.16;90988;7.25;1419
2024-02-15_14:10:56.050494;297.16;90988;7.26;1414
2024-02-15_14:11:06.519539;297.16;90988;7.25;1408
2024-02-15_14:11:16.988468;297.17;90988;7.25;1404
2024-02-15_14:11:27.457551;297.17;90988;7.26;1401
2024-02-15_14:11:37.926280;297.17;90988;7.25;1396
2024-02-15_14:11:48.395264;297.18;90988;7.25;1395
